Sexo;Edad;Nacionalidad;Viaja_solo;Viaja_pareja;Viaja_hijo;Viaja_amigos;Viaja_otros;Noches;Tipo_alojamiento;Coste_vuelos;Coste_alojamiento;Visitas_totales_Islas;Visitas_total_GC;Satisfacción;Calificacion;Repetiria;Recomendaria;Nivel_educativo;Situacion_laboral;Ingresos;Personas_hogar;Cuatrimestre;Canal_visitas_anteriores;Canal_familia;Canal_redes_sociales;Canal_otro;Horas_fuera_alojamiento;A_playa;A_gastronomia;A_ocio;A_senderismo;A_otro_deporte;Año
1;63;Paises Bajos;No;Si;No;No;No;9;1;539,476095;1737,755205;10;9;9;3;8;9;3;4;3;2;Q1;Si;No;Si;No;3;No;No;No;No;Si;2019
1;43;Otros;No;Si;No;No;No;7;2;650,02;650,02;2;2;10;4;9;9;4;1;1;2;Q1;Si;No;No;No;16;No;No;No;No;Si;2019
1;43;Otros;No;No;Si;No;No;14;2;299,9895652;1999,930435;2;2;8;4;10;10;4;4;4;4;Q1;Si;No;Si;No;10;Si;No;No;Si;No;2019
1;48;Otros;No;Si;No;No;No;7;4;316,7585612;812,2014389;2;1;10;5;9;9;4;1;4;4;Q1;No;No;Si;No;10;Si;No;Si;No;No;2019
6;30;Otros;No;Si;No;No;No;7;2;1663,129566;3436,930434;3;2;10;4;10;10;1;2;1;9;Q1;No;No;Si;No;8;Si;No;No;No;No;2019
6;48;Otros;No;Si;No;No;No;29;6;1600,117647;1120,082353;2;2;10;5;10;10;4;2;4;2;Q1;Si;No;No;No;12;Si;No;Si;No;No;2019
1;52;Otros;No;Si;No;No;No;7;2;581,84;727,3;2;1;8;3;8;8;3;1;1;3;Q1;Si;No;Si;No;14;Si;No;No;No;No;2019
6;64;Paises Bajos;No;Si;No;No;No;7;2;103,594309;333,696991;6;6;7;3;10;10;4;7;2;2;Q1;Si;No;Si;No;10;Si;No;Si;No;No;2019
1;48;Dinamarca;No;Si;No;No;No;8;4;287,0319777;790,0880223;4;4;9;3;10;10;2;1;4;3;Q1;Si;No;Si;No;14;Si;No;No;No;No;2019
1;48;Alemania;No;Si;No;No;No;10;4;360;980;7;1;9;5;10;10;4;1;4;2;Q1;Si;Si;Si;Si;10;Si;Si;No;No;No;2019
1;30;Alemania;No;Si;No;No;No;8;4;300;900;1;0;9;4;9;9;4;1;3;1;Q1;Si;No;Si;No;10;Si;Si;No;No;No;2019
1;46;Finlandia;No;Si;No;No;No;20;4;899,9307692;1699,869231;2;2;8;4;10;10;3;1;4;2;Q1;Si;No;No;No;6;Si;No;No;No;No;2019
6;21;Otros;No;No;No;No;Si;7;4;299,9862069;569,9737931;7;7;10;3;9;10;4;6;2;2;Q1;Si;No;Si;No;2;Si;No;No;Si;No;2019
1;54;Alemania;No;Si;No;Si;No;7;2;708,01416;1292,02584;1;0;9;4;9;9;4;1;4;3;Q1;No;No;Si;No;6;Si;Si;No;No;No;2019
1;24;Otros;No;Si;No;No;No;17;6;199,988;299,982;1;1;8;3;10;8;4;2;1;2;Q1;No;Si;No;No;8;No;No;No;Si;No;2019
1;22;Alemania;No;No;No;Si;No;7;3;590,5187634;1077,613337;5;2;10;4;10;10;3;1;2;3;Q1;Si;No;No;No;5;Si;No;No;No;No;2019
6;20;Alemania;No;No;No;No;Si;9;5;85,93363636;229,1563636;2;1;8;3;8;9;4;6;1;3;Q1;No;No;Si;No;13;Si;No;No;Si;No;2019
6;18;Alemania;Si;No;No;No;No;5;3;63;228;20;20;2;5;10;10;2;1;1;2;Q1;Si;Si;Si;No;10;Si;Si;No;Si;No;2019
6;49;Paises Bajos;No;No;Si;No;No;8;4;184,140309;593,150991;2;1;9;5;9;9;4;1;3;2;Q1;Si;Si;Si;No;8;No;No;No;No;Si;2019
6;49;Alemania;No;Si;No;No;No;14;6;430,0187978;1400,061202;2;2;8;3;9;9;4;1;2;3;Q1;No;No;Si;No;7;No;No;No;No;Si;2019
6;67;Alemania;No;Si;No;No;No;10;2;955,8;1744,2;4;0;10;3;10;10;4;1;4;2;Q1;Si;No;No;No;6;Si;No;No;Si;No;2019
6;57;Paises Bajos;No;Si;No;No;No;7;5;302,606892;974,754408;15;5;8;3;8;8;4;1;3;3;Q1;No;No;Si;No;5;Si;No;No;No;No;2019
1;60;Alemania;No;Si;No;No;No;7;6;99,99111111;349,9688889;2;2;9;3;10;10;3;1;2;3;Q1;Si;No;Si;No;4;Si;No;No;No;No;2019
1;49;Alemania;No;Si;No;No;No;13;4;299,988;2199,912;3;2;10;5;10;10;3;1;4;2;Q1;Si;No;No;No;5;No;No;No;No;Si;2019
1;29;Alemania;No;Si;No;No;No;14;4;400;650;5;5;8;3;9;8;3;1;2;3;Q1;Si;No;Si;No;10;Si;Si;Si;No;No;2019
1;60;Alemania;No;Si;No;No;No;7;5;275,9860371;909,9539629;12;3;9;4;9;9;4;1;3;2;Q1;Si;No;Si;No;8;No;No;No;No;Si;2019
1;44;Italia;Si;No;No;No;No;18;4;200,0210526;370,0389474;2;2;7;4;7;8;2;1;1;1;Q1;Si;Si;No;No;6;Si;No;Si;No;No;2019
1;72;Alemania;No;Si;No;No;No;7;6;60,00166667;300,0083333;3;1;10;5;10;10;4;7;2;2;Q1;Si;No;Si;No;10;Si;Si;No;No;No;2019
1;49;Alemania;Si;No;No;No;No;7;4;236,5612434;431,6908566;10;0;9;3;8;8;4;1;4;1;Q1;Si;Si;Si;No;10;No;No;No;No;Si;2019
6;53;Suecia;No;No;Si;No;No;7;2;378,8707037;716,4478963;1;1;10;3;10;10;3;1;2;1;Q1;No;No;Si;No;3;Si;No;No;No;No;2019
6;50;Dinamarca;No;No;No;No;Si;7;4;565,639893;1069,630107;2;2;8;3;10;10;3;3;2;1;Q1;No;No;Si;No;8;No;No;No;No;Si;2019
6;56;Dinamarca;No;Si;No;No;No;7;1;1248,964859;2361,803741;2;0;8;3;9;9;4;10;4;2;Q1;Si;No;Si;No;2;No;No;Si;No;No;2019
1;31;Dinamarca;No;Si;Si;No;No;7;4;363,776112;687,903888;5;5;9;4;9;9;4;4;2;1;Q1;Si;No;Si;No;8;No;No;No;No;Si;2019
6;67;Dinamarca;No;Si;No;No;No;8;4;326,474256;617,365744;8;8;8;3;10;10;4;7;2;3;Q1;Si;No;No;No;8;No;No;No;No;Si;2019
6;65;Dinamarca;No;Si;No;No;No;7;3;134,2951907;253,9534093;7;2;8;3;7;7;4;7;3;2;Q1;Si;No;Si;No;8;Si;No;No;No;No;2019
1;27;Dinamarca;No;Si;No;No;No;7;3;577,3930907;1091,855509;4;4;10;3;10;10;4;2;4;2;Q1;Si;Si;Si;No;5;No;Si;Si;No;No;2019
1;64;Suecia;No;Si;No;No;No;7;4;155,3120747;293,6965253;10;10;8;3;10;10;3;1;2;2;Q1;No;No;Si;No;7;No;No;No;No;Si;2019
6;61;Suecia;No;Si;No;No;No;7;3;217,2005027;410,7280973;25;20;8;4;10;10;3;7;2;2;Q1;Si;No;Si;No;12;Si;Si;No;No;No;2019
1;69;Suecia;No;Si;No;No;No;7;3;137,2491767;259,5394233;8;8;8;3;10;10;3;7;2;2;Q1;Si;No;Si;No;15;No;No;No;No;Si;2019
6;51;Bélgica;No;Si;No;No;No;12;2;1152;3348;5;3;10;3;10;10;3;7;3;3;Q1;No;No;Si;No;4;Si;No;No;No;No;2019
6;36;Suecia;No;No;No;No;Si;7;4;520,2988367;983,8897633;5;5;9;3;9;9;4;7;4;2;Q1;Si;Si;Si;No;9;Si;No;No;No;No;2019
6;41;Suecia;No;Si;Si;Si;No;7;4;385,6261307;729,2224693;12;5;5;2;10;9;4;1;2;4;Q1;Si;Si;No;No;8;Si;Si;No;No;No;2019
1;26;Suecia;No;No;No;No;Si;14;6;292,068;681,492;2;1;4;3;1;3;4;4;3;2;Q1;Si;No;No;No;10;Si;No;Si;Si;No;2019
6;38;Suecia;No;Si;Si;Si;No;11;6;973,72;1947,44;6;4;10;4;9;10;4;4;4;4;Q1;Si;No;Si;No;12;Si;No;No;Si;No;2019
6;67;Suecia;No;No;Si;Si;No;15;5;389,46;1557,84;14;6;10;3;10;10;3;7;2;1;Q1;Si;No;Si;No;6;Si;No;No;Si;No;2019
1;62;Suecia;No;Si;No;No;No;7;2;1746,532116;3302,707884;1;0;7;3;6;7;3;1;3;2;Q1;No;No;Si;No;16;Si;Si;No;Si;No;2019
6;53;Otros;No;Si;No;No;No;8;3;640;2400;6;6;10;3;10;10;4;3;4;2;Q1;No;No;Si;No;3;No;No;No;No;Si;2019
1;74;Suecia;No;Si;No;Si;No;8;4;311,5619152;799,9580848;8;5;9;3;10;10;4;7;4;2;Q1;Si;No;No;No;8;Si;No;No;No;No;2019
6;65;Suecia;No;Si;No;No;No;10;3;690,1979987;1305,170601;5;2;7;4;9;10;4;7;3;2;Q1;No;No;Si;No;8;Si;No;No;No;No;2019
1;55;Suecia;No;Si;No;No;No;6;4;385,5846227;729,1439773;4;4;10;4;10;10;3;6;4;3;Q1;Si;No;No;No;12;Si;No;No;No;No;2019
6;67;Suecia;No;Si;No;No;No;7;3;385,5777047;729,1308953;2;2;8;4;8;8;4;7;2;2;Q1;No;No;Si;No;7;No;No;No;No;Si;2019
6;79;Suecia;No;Si;No;No;No;7;2;621,3638987;1175,004701;5;5;10;5;10;10;4;7;3;2;Q1;Si;No;No;No;4;Si;No;No;No;No;2019
6;64;Suecia;No;Si;No;No;No;7;2;881,7020747;1667,306525;8;7;10;3;10;10;4;7;3;2;Q1;Si;No;No;No;2;Si;No;No;No;No;2019
1;70;Suecia;No;Si;No;Si;No;7;3;217,2005027;410,7280973;11;11;10;4;10;10;3;7;2;2;Q1;No;No;Si;No;8;Si;No;No;No;No;2019
1;67;Suecia;No;Si;No;No;No;7;3;229,05498;433,14502;2;2;5;4;7;7;3;7;2;2;Q1;No;Si;No;No;10;Si;No;No;Si;No;2019
6;61;Suecia;No;Si;No;No;No;7;4;554,0033327;1047,625267;3;3;8;4;10;10;4;1;3;2;Q1;Si;No;No;No;8;Si;No;No;No;No;2019
1;79;Suecia;No;Si;No;Si;No;7;5;419,2822007;792,8663993;24;22;8;3;8;8;4;7;2;2;Q1;Si;No;Si;No;7;Si;Si;No;No;No;2019
1;18;Suecia;No;No;No;No;Si;6;2;217,1866667;410,7019333;2;2;10;4;10;10;3;2;1;1;Q1;No;Si;No;No;12;No;No;No;No;Si;2019
1;55;Dinamarca;No;Si;No;No;No;7;2;320,8805687;606,7880313;3;3;9;3;10;10;4;1;4;2;Q1;Si;No;Si;No;6;No;No;No;No;Si;2019
1;62;Reino Unido;No;Si;No;Si;No;5;1;289,8551724;1003,344828;3;1;9;4;9;9;4;1;2;2;Q1;Si;No;Si;No;7;No;Si;No;No;No;2019
6;36;Reino Unido;No;No;No;Si;No;5;4;109,2540059;642,1459941;4;1;10;3;10;10;3;1;2;1;Q1;Si;No;No;No;6;Si;No;Si;No;No;2019
6;55;Reino Unido;No;Si;No;Si;No;7;2;156,08;936,48;3;1;10;4;10;10;4;1;1;1;Q1;No;Si;Si;No;4;No;No;Si;No;No;2019
6;71;Reino Unido;No;Si;No;Si;No;10;6;178,3773534;800,0226466;5;2;8;3;9;8;4;7;4;2;Q1;Si;No;Si;No;12;Si;Si;No;No;No;2019
6;42;Reino Unido;No;Si;No;No;No;3;1;167,2225352;624,2974648;5;4;10;3;10;10;3;2;2;2;Q1;Si;No;Si;No;8;Si;No;No;No;No;2019
1;22;Reino Unido;No;No;No;Si;No;7;5;325,76404;1012,07596;6;0;10;5;10;10;4;1;4;3;Q1;Si;No;No;No;4;Si;No;Si;Si;No;2019
1;22;Italia;No;No;No;Si;No;5;4;200;300;1;1;7;3;7;6;4;5;1;2;Q1;No;Si;No;No;15;Si;Si;Si;No;No;2019
1;46;Reino Unido;No;Si;Si;No;No;7;4;167,2125;501,6375;12;12;6;3;10;6;1;2;1;4;Q1;Si;Si;No;No;12;Si;No;No;No;No;2019
1;74;Reino Unido;No;Si;No;No;No;7;4;445,9304348;836,1195652;8;3;9;3;10;10;4;7;2;2;Q1;No;No;Si;No;9;No;No;No;No;Si;2019
1;51;Reino Unido;No;Si;No;No;No;7;4;111,4716981;479,3283019;20;15;5;2;10;9;1;1;4;3;Q1;Si;Si;Si;No;16;No;No;No;No;Si;2019
1;58;Reino Unido;Si;No;No;Si;No;10;4;98,1037037;323,2962963;12;2;10;5;10;10;1;2;2;2;Q1;No;No;Si;No;2;Si;No;No;No;No;2019
6;73;Noruega;No;Si;No;No;No;14;4;1006,447451;1903,201149;10;9;10;3;10;10;4;7;4;2;Q1;Si;No;Si;No;8;No;No;No;No;Si;2019
1;44;Dinamarca;No;Si;No;No;No;7;4;447,746796;846,693204;1;1;9;3;9;9;4;1;3;2;Q1;Si;No;Si;No;6;No;No;No;No;Si;2019
1;60;Dinamarca;No;Si;No;No;No;8;2;600,7067507;1135,941849;10;4;9;3;9;9;2;3;4;2;Q1;Si;No;No;No;4;No;Si;No;No;No;2019
6;71;Dinamarca;No;Si;No;Si;No;28;4;1539,171984;2910,588016;4;4;8;3;5;8;3;7;4;2;Q1;Si;No;No;No;4;Si;No;No;No;No;2019
