Sexo;Edad;Nacionalidad;Viaja_solo;Viaja_pareja;Viaja_hijo;Viaja_amigos;Viaja_otros;Noches;Tipo_alojamiento;Coste_vuelos;Coste_alojamiento;Visitas_totales_Islas;Visitas_total_GC;Satisfacción;Calificacion;Repetiria;Recomendaria;Nivel_educativo;Situacion_laboral;Ingresos;Personas_hogar;Cuatrimestre;Canal_visitas_anteriores;Canal_familia;Canal_redes_sociales;Canal_otro;Horas_fuera_alojamiento;A_playa;A_gastronomia;A_ocio;A_senderismo;A_otro_deporte;Año
1;67;Noruega;No;Si;No;Si;No;27;4;1435,455;1845,585;7;7;10;3;10;10;4;7;3;2;Q1;Si;No;Si;No;6;No;No;No;Si;No;2019
1;64;Noruega;No;Si;No;Si;No;14;4;390,119856;737,720144;10;10;10;4;10;10;4;2;4;1;Q1;Si;Si;Si;No;8;Si;No;Si;No;No;2019
1;55;Reino Unido;No;Si;No;No;No;7;5;113;203,4;12;12;10;4;10;10;4;7;1;1;Q1;Si;No;Si;No;9;No;Si;Si;No;No;2019
1;54;Reino Unido;No;Si;No;No;No;10;4;158,1842697;847,4157303;14;7;8;3;9;9;4;1;2;2;Q1;Si;No;Si;No;10;Si;Si;No;No;No;2019
1;48;Reino Unido;No;Si;No;No;No;7;2;220,8513207;615,2286793;4;1;10;3;10;10;4;2;4;3;Q1;Si;No;No;No;1;Si;No;Si;No;No;2019
1;61;Reino Unido;No;Si;No;No;No;7;2;282,45;1412,25;12;2;10;3;10;10;4;4;4;2;Q1;Si;No;Si;No;1;Si;No;No;No;No;2019
6;43;Irlanda;No;Si;No;No;No;7;6;160,0079012;650,0320988;3;2;9;4;10;10;4;7;3;1;Q1;Si;No;Si;No;10;Si;No;Si;No;No;2019
6;21;Irlanda;No;No;No;No;Si;5;4;364;440;2;1;10;3;10;10;4;6;1;6;Q1;No;No;Si;No;10;Si;No;No;Si;No;2019
6;65;Irlanda;No;Si;No;No;No;7;4;359,9981323;802,1418677;10;10;8;4;8;8;4;7;4;2;Q1;Si;No;Si;No;4;Si;No;No;No;No;2019
6;45;Irlanda;No;No;No;No;Si;7;2;249,998;999,992;8;5;9;5;10;9;4;1;3;5;Q1;Si;No;Si;No;12;No;No;No;No;Si;2019
6;63;España;No;Si;No;No;No;7;2;421,4314405;836,5728595;6;1;9;4;10;10;4;7;3;2;Q1;Si;No;Si;No;8;Si;No;No;No;No;2019
6;46;Suecia;No;No;Si;No;No;5;3;1011,93045;1913,56955;3;1;6;2;1;2;4;7;4;2;Q1;Si;No;No;No;12;No;No;No;No;Si;2019
1;67;Suecia;No;No;No;Si;No;11;4;126,7604598;721,5595402;6;5;6;3;9;7;4;2;3;1;Q1;Si;No;No;No;10;Si;Si;No;No;No;2019
6;69;Suecia;No;Si;No;No;No;21;2;791,0970287;1495,971571;15;0;7;3;8;8;3;7;1;2;Q1;Si;No;Si;No;10;Si;Si;No;No;No;2019
6;55;Suecia;No;Si;No;No;No;10;5;975,2;975,2;10;10;7;3;8;10;2;1;2;3;Q1;No;No;No;No;12;Si;No;No;No;No;2019
1;42;Suecia;No;Si;No;No;No;7;2;404,744508;765,375492;6;1;10;5;9;10;4;1;4;3;Q1;Si;Si;No;No;8;Si;Si;No;No;No;2019
6;34;España;Si;No;No;No;No;1;2;150;100;5;5;10;5;10;10;4;1;2;1;Q1;No;No;No;No;12;No;No;No;No;Si;2019
1;52;Reino Unido;No;Si;No;No;No;14;3;390,3666111;1212,781689;7;5;10;3;10;10;4;3;2;2;Q1;Si;Si;Si;No;12;Si;No;Si;No;No;2019
6;48;Finlandia;Si;No;No;No;No;14;1;764,7532847;1446,155315;6;6;7;2;3;3;4;1;4;1;Q1;Si;No;Si;No;8;No;No;No;No;Si;2019
6;71;Finlandia;No;Si;No;No;No;7;2;449,683836;850,356164;6;1;8;3;8;8;3;7;3;2;Q1;Si;No;Si;No;3;No;No;No;No;Si;2019
1;47;Finlandia;No;Si;No;No;No;7;4;415,059246;784,880754;9;9;9;5;10;10;2;1;2;3;Q1;Si;Si;Si;No;17;Si;Si;No;No;No;2019
6;50;Finlandia;Si;No;No;No;No;7;4;217,5636977;411,4149023;4;2;8;3;6;6;4;7;2;1;Q1;Si;No;Si;No;10;Si;Si;No;No;No;2019
1;69;Finlandia;No;Si;No;Si;No;7;5;777,9251567;1471,063443;1;1;9;5;9;9;3;4;4;3;Q1;No;No;Si;No;6;Si;No;No;No;No;2019
6;59;Suecia;No;No;No;No;Si;17;5;280,137492;529,742508;4;1;9;4;9;9;3;4;2;2;Q1;Si;No;No;Si;8;Si;Si;No;No;No;2019
6;73;Suecia;No;Si;No;No;No;21;4;959,6195087;1814,649091;5;5;9;3;6;10;4;7;3;2;Q1;Si;No;Si;No;5;Si;No;No;No;No;2019
1;75;Suecia;No;Si;No;No;No;20;1;1566,846959;2962,921641;5;5;9;3;9;9;4;2;3;2;Q1;No;No;Si;No;12;No;No;No;No;Si;2019
6;62;España;No;No;No;No;Si;3;1;114,9971779;699,9828221;4;4;10;4;10;10;4;1;2;1;Q1;No;No;Si;No;6;Si;No;No;No;No;2019
1;45;España;Si;No;No;No;No;1;2;220;90;5;5;10;5;10;10;4;1;3;7;Q1;Si;No;No;No;10;No;No;No;No;Si;2019
1;57;España;No;Si;No;No;No;5;3;234,5;465,5;4;1;10;5;10;10;3;2;2;3;Q1;Si;No;No;No;14;No;Si;No;No;No;2019
6;36;España;No;Si;No;No;No;6;2;139,9944828;874,9655172;4;1;9;4;10;10;4;1;4;2;Q1;Si;Si;Si;No;8;Si;Si;No;No;No;2019
1;63;Reino Unido;Si;No;No;No;No;4;3;47,44906208;234,9909379;1;0;7;3;7;8;4;7;1;1;Q1;No;No;Si;No;14;No;Si;No;No;No;2019
1;53;Reino Unido;Si;No;No;No;No;13;4;131,0543646;1095,885635;8;8;9;3;10;10;4;1;3;1;Q1;Si;No;Si;No;3;No;Si;Si;No;No;2019
1;79;Alemania;No;Si;No;No;No;21;4;299,9945455;799,9854546;15;14;8;3;10;10;3;7;2;2;Q1;Si;No;No;No;8;Si;Si;No;No;No;2019
6;69;Alemania;No;Si;No;Si;No;14;2;1192,350623;2175,871477;12;2;9;4;10;10;4;7;3;2;Q1;No;No;Si;No;8;Si;No;No;No;No;2019
1;30;Alemania;No;No;No;No;Si;5;3;369,1866;673,7134;4;4;10;3;10;10;4;4;2;1;Q1;Si;No;Si;No;4;Si;Si;No;No;No;2019
1;71;Reino Unido;No;No;No;No;Si;7;2;1353,272751;4204,315549;7;2;10;4;10;10;4;7;1;2;Q1;Si;No;Si;No;4;No;No;No;No;Si;2019
1;77;Reino Unido;No;Si;No;No;No;7;2;527,9538511;1640,234449;8;8;10;3;10;10;3;7;1;2;Q1;Si;No;Si;No;12;Si;No;No;No;No;2019
1;80;Dinamarca;No;Si;No;No;No;14;2;1112,597243;2103,931357;5;5;9;4;3;9;3;7;3;2;Q1;Si;No;No;No;2;No;No;No;No;Si;2019
1;82;Italia;No;Si;No;No;No;2;4;160,0177075;1105,122293;3;1;10;4;8;8;4;7;1;2;Q1;Si;No;Si;No;8;No;No;Si;No;No;2019
6;66;Dinamarca;No;Si;No;No;No;7;4;507,4175207;959,5310793;9;5;8;3;10;10;4;2;2;2;Q1;Si;No;Si;No;6;No;Si;No;No;No;2019
6;62;Dinamarca;No;Si;No;No;No;7;4;335,785884;634,974116;15;9;10;3;10;10;4;1;4;2;Q1;Si;No;No;No;10;Si;No;No;No;No;2019
6;65;Suecia;No;Si;No;No;No;7;4;352,5511727;666,6774273;10;7;10;3;10;10;3;7;2;2;Q1;Si;No;Si;No;2;Si;No;Si;No;No;2019
6;76;Reino Unido;No;Si;No;No;No;21;2;1023,145191;3178,683109;3;3;8;3;9;9;4;7;3;2;Q1;Si;Si;Si;No;5;Si;Si;No;Si;No;2019
6;52;Reino Unido;No;Si;No;No;No;7;3;285,8466711;888,061629;10;4;8;3;10;10;3;3;2;2;Q1;Si;No;No;No;4;Si;No;No;No;No;2019
1;33;Reino Unido;No;Si;No;No;No;3;3;58,74555556;429,2944444;3;3;9;4;10;10;1;1;2;2;Q1;Si;No;Si;No;2;Si;No;No;No;No;2019
6;47;Reino Unido;No;No;Si;No;No;4;2;241,8316111;751,316689;6;1;9;3;10;10;3;1;1;3;Q1;Si;Si;Si;No;5;Si;No;No;No;No;2019
6;67;Reino Unido;No;Si;No;No;No;7;4;390,4007011;1212,887599;3;3;10;4;10;10;3;2;2;2;Q1;No;No;No;No;2;No;No;No;No;Si;2019
1;30;Reino Unido;No;Si;No;No;No;7;4;184,0539311;571,814369;12;2;7;3;10;10;4;1;2;2;Q1;Si;No;Si;No;14;Si;No;Si;No;No;2019
1;27;Reino Unido;No;Si;No;No;No;3;4;225,9490909;395,4109091;5;2;9;4;10;10;1;1;2;2;Q1;No;No;Si;No;12;No;No;No;No;Si;2019
1;71;Reino Unido;No;Si;No;No;No;7;1;1408,259921;4375,148379;5;1;9;3;8;8;4;7;4;2;Q1;Si;No;Si;No;4;No;No;No;No;Si;2019
1;30;Reino Unido;No;No;No;No;Si;10;4;87,80325105;272,785049;10;10;10;4;8;5;4;5;4;2;Q1;Si;No;No;No;10;Si;No;No;No;No;2019
6;41;Reino Unido;No;Si;No;No;No;7;2;250,0862611;776,962039;5;5;10;4;10;10;4;2;4;2;Q1;Si;No;No;No;10;Si;No;No;No;No;2019
1;54;Reino Unido;No;Si;No;No;No;7;4;146,8711111;564,8888889;10;1;10;4;10;10;3;1;4;3;Q1;No;No;Si;No;14;Si;No;No;No;No;2019
1;57;Reino Unido;No;Si;No;Si;No;7;4;170,3156611;529,132639;4;4;10;5;10;10;4;1;4;2;Q1;Si;No;Si;No;5;No;Si;Si;No;No;2019
1;72;Reino Unido;No;Si;No;No;No;7;2;417,9113311;1298,356969;5;3;10;3;10;10;1;7;2;2;Q1;No;No;No;No;7;Si;No;No;No;No;2019
6;72;Reino Unido;No;Si;No;Si;No;14;2;1215,685511;3776,862789;25;6;9;4;10;10;4;7;2;2;Q1;Si;No;No;No;2;No;No;No;No;Si;2019
6;62;Dinamarca;No;No;No;No;Si;14;5;699,561996;1322,878004;15;3;10;5;10;10;4;7;2;1;Q1;Si;No;Si;No;10;Si;No;Si;No;No;2019
6;26;España;No;Si;No;No;No;2;6;225,9428571;90,37714286;1;1;8;3;8;8;4;1;1;2;Q1;No;No;Si;No;18;Si;Si;No;No;No;2019
6;33;España;No;Si;Si;No;No;6;2;700;1400;2;1;9;3;10;10;4;3;1;4;Q1;No;Si;Si;No;2;Si;No;No;No;No;2019
1;44;España;No;Si;No;No;No;4;4;219,0214181;190,0185819;2;1;9;4;9;9;4;1;2;2;Q1;No;No;Si;No;10;Si;No;No;No;No;2019
6;51;España;No;Si;No;No;No;10;2;600;2800;20;20;8;3;9;9;4;2;3;4;Q1;Si;No;No;No;7;Si;Si;No;No;No;2019
6;31;España;No;Si;No;No;No;3;3;199,992;299,988;3;0;8;3;8;8;4;1;3;2;Q1;No;No;Si;No;14;Si;No;No;No;No;2019
1;56;España;No;Si;No;No;No;5;2;149,9894118;699,9505882;2;1;7;4;7;7;3;4;4;2;Q1;No;No;Si;No;16;Si;No;No;No;No;2019
6;67;Reino Unido;No;Si;No;No;No;14;4;372,8007843;1355,639216;25;5;10;3;10;10;4;7;3;2;Q1;Si;No;Si;No;8;Si;No;No;No;No;2019
1;41;Otros;No;No;No;No;Si;7;2;362,8900711;1127,418229;5;4;9;4;9;9;4;1;3;3;Q1;Si;No;No;No;1;Si;No;No;No;No;2019
6;67;Reino Unido;No;Si;No;No;No;7;1;445,4219611;1383,826339;3;1;9;4;9;10;4;7;2;2;Q1;Si;Si;Si;No;5;Si;Si;No;No;No;2019
6;58;Reino Unido;No;Si;No;No;No;7;3;225,3369211;700,071379;4;4;10;5;10;10;1;1;2;3;Q1;Si;No;No;No;8;Si;No;No;No;No;2019
1;62;Reino Unido;No;Si;No;No;No;7;2;417,9113311;1298,356969;5;5;10;3;10;10;3;7;2;2;Q1;Si;No;No;No;4;No;No;No;No;Si;2019
1;66;Reino Unido;No;Si;No;No;No;8;2;489,4126711;1520,495629;10;7;7;3;10;10;4;7;4;2;Q1;No;No;No;No;7;No;No;No;No;Si;2019
1;49;Otros;Si;No;No;No;No;7;4;134,4377798;491,4322202;4;3;7;3;6;10;3;1;2;1;Q1;Si;No;No;No;3;Si;No;No;No;No;2019
1;52;Reino Unido;No;Si;No;No;No;7;5;305,0611826;600,0388174;20;19;9;3;10;8;4;2;4;2;Q1;Si;No;No;No;6;Si;No;No;No;No;2019
1;65;Reino Unido;No;Si;No;No;No;7;2;307,8688111;956,479489;5;1;9;4;10;10;4;2;1;3;Q1;Si;No;Si;No;8;Si;No;No;Si;No;2019
6;52;Reino Unido;No;Si;No;No;No;7;2;412,65945;1282,04055;4;3;10;5;10;10;4;8;3;3;Q1;Si;No;No;No;0;No;No;No;No;Si;2019
6;37;Reino Unido;No;Si;Si;No;No;7;1;390,4007011;1212,887599;5;2;8;4;9;9;4;1;2;3;Q1;No;No;Si;No;2;Si;No;No;No;No;2019
6;60;Reino Unido;No;Si;No;No;No;7;2;437,40879;1358,93121;1;1;7;4;5;5;1;1;2;4;Q1;No;Si;Si;No;1;No;Si;No;No;No;2019
6;25;Irlanda;No;No;No;No;Si;5;3;98,22505105;305,163249;2;0;6;3;10;10;4;1;1;2;Q1;Si;Si;Si;No;8;Si;No;No;No;No;2019
1;72;Reino Unido;No;Si;No;No;No;14;2;527,9538511;1640,234449;25;25;10;5;10;10;4;7;2;2;Q1;Si;No;Si;No;12;No;No;No;No;Si;2019
1;65;Alemania;No;Si;No;No;No;10;2;661,3506234;1206,871477;5;5;8;3;8;8;3;1;2;3;Q1;Si;No;Si;No;5;Si;Si;No;No;No;2019
6;53;Alemania;No;Si;No;No;No;14;2;1015,322303;1852,819797;8;6;8;3;10;10;4;3;2;2;Q1;Si;Si;Si;No;7;Si;No;No;No;No;2019
6;65;Alemania;No;Si;No;No;No;21;4;279,9743119;1899,825688;14;2;8;2;10;10;4;7;3;2;Q1;Si;No;Si;No;4;Si;Si;No;No;No;2019
1;48;Paises Bajos;No;Si;No;Si;No;7;2;250,486523;806,864777;3;3;9;3;10;10;4;1;4;1;Q1;No;No;Si;No;7;Si;Si;No;No;No;2019
1;54;Alemania;No;No;No;No;Si;8;4;194,72832;355,35168;4;2;10;5;10;10;4;1;3;2;Q1;No;No;Si;No;6;No;No;No;No;Si;2019
6;59;Alemania;No;Si;No;No;No;7;1;3711,18732;6772,39268;3;3;8;3;9;10;3;1;2;2;Q1;Si;No;No;No;5;Si;No;No;No;No;2019
1;70;Alemania;No;Si;No;No;No;10;2;590,5506234;1077,671477;5;5;8;3;9;9;4;1;2;2;Q1;No;No;Si;No;2;Si;No;No;No;No;2019
6;68;Paises Bajos;No;No;No;No;Si;15;3;563,156619;1814,034681;3;2;8;3;10;7;4;7;4;1;Q1;No;No;No;No;4;No;No;No;No;Si;2019
1;67;Alemania;No;Si;No;No;No;10;4;282,846;516,154;14;5;8;3;8;8;2;7;2;2;Q1;Si;Si;Si;No;6;No;No;No;No;Si;2019
1;60;España;No;Si;No;No;No;3;5;160,0086487;580,0313514;3;2;10;4;10;10;3;1;2;2;Q1;No;Si;Si;No;12;No;Si;No;No;No;2019
1;44;España;No;Si;No;Si;No;5;3;250;100;5;3;8;3;10;10;3;3;2;2;Q1;Si;No;No;No;8;Si;No;No;No;No;2019
6;74;España;No;Si;No;Si;No;9;3;471,6546405;936,2696595;10;5;7;3;7;9;3;7;2;2;Q1;Si;No;No;No;7;No;No;No;No;Si;2019
6;67;España;No;Si;No;No;No;9;3;454,9515405;903,1127595;3;2;8;3;5;8;4;7;2;2;Q1;No;No;No;No;8;Si;No;No;No;No;2019
1;70;Alemania;No;Si;No;No;No;10;4;838,3506234;1529,871477;2;0;9;3;8;8;2;4;2;1;Q1;Si;No;No;No;2;Si;No;No;No;No;2019
6;53;Alemania;No;Si;No;No;No;10;2;1015,350623;1852,871477;6;4;10;3;10;10;3;1;3;2;Q1;Si;No;Si;No;4;Si;No;No;No;No;2019
1;71;España;No;Si;No;No;No;7;2;600,0225;1000,0375;3;1;9;3;9;9;4;7;3;2;Q1;Si;No;Si;No;14;No;Si;No;No;No;2019
1;54;España;No;Si;No;No;No;10;1;260;3400;3;3;9;3;9;8;3;1;1;2;Q1;Si;No;No;No;3;No;No;No;No;Si;2019
1;42;España;No;No;Si;No;No;6;7;330,0212903;600,0387097;5;5;10;5;10;10;3;1;2;3;Q1;Si;No;Si;No;10;Si;Si;No;No;No;2019
6;63;España;Si;No;No;No;No;1;3;125,6914894;13,30851064;5;2;9;3;10;10;3;7;3;1;Q1;No;Si;No;No;12;No;No;No;No;Si;2019
6;39;Reino Unido;No;No;No;Si;No;5;2;312,6024511;971,185849;4;1;9;3;10;10;1;1;3;3;Q1;No;No;Si;No;3;No;Si;No;No;No;2019
6;37;Reino Unido;No;No;No;No;Si;5;2;181,0828767;835,7671233;4;2;8;3;10;10;4;1;3;4;Q1;Si;Si;Si;No;2;Si;No;Si;No;No;2019
1;59;Reino Unido;No;Si;No;No;No;5;2;527,9538511;1640,234449;16;4;9;4;9;9;4;7;2;2;Q1;Si;No;Si;No;10;No;Si;No;No;No;2019
1;45;Francia;No;Si;No;No;No;5;3;115,2944011;358,193899;2;1;9;3;9;9;4;1;3;3;Q1;Si;Si;Si;No;5;No;Si;Si;No;No;2019
6;55;Irlanda;No;Si;No;No;No;7;2;537,7888161;1670,789484;6;6;6;3;7;6;4;7;1;1;Q1;Si;No;Si;No;18;No;No;No;No;Si;2019
6;55;Reino Unido;No;Si;No;Si;No;7;3;197,8262911;614,602009;2;1;8;4;9;9;4;2;2;2;Q1;Si;No;Si;No;14;Si;No;No;Si;No;2019
1;72;Reino Unido;No;Si;No;No;No;12;4;495,16212;1538,35788;8;4;8;3;10;10;4;7;4;2;Q1;Si;No;No;No;6;Si;No;No;No;No;2019
6;27;Otros;No;Si;No;No;No;6;6;169,48;338,96;1;0;9;3;8;9;4;1;1;2;Q1;Si;Si;Si;No;12;Si;No;No;No;No;2019
6;59;Reino Unido;No;Si;No;No;No;4;4;307,8493311;956,418969;2;2;9;3;10;10;4;1;1;2;Q1;Si;No;Si;No;7;Si;No;No;No;No;2019
1;54;Reino Unido;No;Si;No;No;No;3;1;451,92;677,88;2;1;10;5;10;9;4;1;4;4;Q1;No;No;Si;No;5;Si;No;No;No;No;2019
6;68;Paises Bajos;No;Si;No;No;No;7;4;180;520;6;6;9;3;10;10;3;7;2;2;Q1;Si;Si;Si;No;8;No;No;No;No;Si;2019
6;58;Bélgica;No;Si;No;No;No;7;2;328,2422016;953,9538984;6;2;9;3;9;9;4;7;2;2;Q1;Si;No;Si;No;4;No;No;No;No;Si;2019
1;54;Paises Bajos;Si;No;No;No;No;6;3;99;153;3;3;10;3;10;10;4;1;2;2;Q1;Si;No;Si;No;13;Si;Si;No;No;No;2019
1;31;Francia;No;Si;No;No;No;10;2;857,5385118;1226,394688;1;0;7;3;5;7;4;3;3;2;Q1;Si;No;Si;No;6;Si;Si;No;No;No;2019
6;37;España;Si;No;No;No;No;1;3;60;85;3;0;8;3;10;8;4;1;2;3;Q1;No;No;No;No;10;No;No;No;No;Si;2019
6;49;Reino Unido;No;Si;No;Si;No;9;2;525,6162511;1632,972049;8;2;9;4;10;10;4;1;4;2;Q1;Si;Si;Si;Si;3;Si;Si;Si;No;No;2019
6;58;Reino Unido;No;Si;No;No;No;10;2;1540,5758;4786,2242;2;1;10;3;8;9;1;1;2;2;Q1;Si;No;No;No;8;No;No;No;No;Si;2019
6;36;Otros;No;Si;Si;No;No;5;4;197,8409011;614,647399;12;0;10;3;10;10;4;1;3;3;Q1;Si;No;No;No;10;Si;No;Si;No;No;2019
1;25;Reino Unido;No;Si;No;No;No;5;4;252,8475511;785,540749;2;2;10;5;10;10;4;1;2;1;Q1;Si;No;No;No;8;No;Si;Si;No;No;2019
1;31;Reino Unido;No;Si;No;No;No;10;2;362,3251511;1125,663149;8;1;9;3;9;9;4;1;2;2;Q1;Si;No;Si;No;4;Si;No;Si;Si;No;2019
1;50;Irlanda;No;Si;No;No;No;3;2;225,952;621,368;5;4;9;3;10;9;4;1;4;2;Q1;Si;Si;No;No;8;Si;No;Si;No;No;2019
6;56;Reino Unido;No;Si;No;No;No;9;1;412,65945;1282,04055;5;1;9;3;10;10;3;5;1;2;Q1;Si;Si;Si;No;4;Si;No;No;No;No;2019
6;69;Reino Unido;No;Si;No;No;No;5;6;564,9;1129,8;2;1;8;4;5;6;4;7;4;2;Q1;No;No;Si;No;5;No;Si;No;No;No;2019
6;39;Otros;No;No;Si;No;No;5;4;450;500;7;6;8;3;7;7;4;2;3;4;Q1;Si;Si;No;No;8;Si;No;No;No;No;2019
6;70;Francia;No;Si;No;Si;No;21;2;1516,004352;2168,088848;10;6;8;3;10;10;3;7;2;2;Q1;Si;No;No;No;5;Si;No;No;No;No;2019
6;64;Suiza;No;Si;No;No;No;10;2;531,8095582;1769,990442;10;4;10;3;10;10;3;7;1;1;Q1;Si;No;Si;No;7;No;Si;Si;No;No;2019
1;50;Francia;Si;No;No;No;No;5;2;300;700;15;8;8;3;9;8;3;1;1;2;Q1;Si;No;Si;No;12;Si;No;Si;No;No;2019
1;60;Francia;No;Si;No;No;No;7;1;569,4720518;814,4211482;1;0;10;3;10;8;4;1;4;3;Q1;Si;No;Si;No;8;No;No;No;No;Si;2019
6;55;Alemania;Si;No;No;No;No;15;1;117,8874391;630,0125609;4;3;9;3;9;10;4;11;1;2;Q1;Si;No;Si;No;8;Si;No;No;No;No;2019
1;63;Francia;No;Si;No;No;No;8;5;299,9895652;1999,930435;17;5;9;3;8;8;3;7;2;2;Q1;Si;No;Si;No;8;Si;No;No;No;No;2019
1;58;Suiza;Si;No;No;No;No;12;3;458,891171;812,627729;14;4;8;3;8;8;2;3;4;1;Q1;Si;No;No;No;8;Si;No;No;No;No;2019
6;47;España;No;Si;No;No;No;4;2;237,1747405;470,8095595;1;0;10;3;8;10;4;1;2;4;Q1;No;No;No;No;10;Si;No;No;No;No;2019
6;67;España;No;No;No;No;Si;8;3;123,2747405;244,7095595;1;1;9;5;9;10;4;7;2;2;Q1;No;No;No;No;12;No;No;No;No;Si;2019
6;53;España;No;Si;Si;No;No;5;2;536,01675;1064,03325;2;1;10;3;10;10;2;1;1;3;Q1;No;No;No;No;6;Si;No;No;No;No;2019
6;51;Otros;No;Si;No;No;No;4;3;304,9827927;403,9772073;2;2;10;5;10;10;4;1;1;3;Q1;Si;No;No;No;13;Si;No;No;No;No;2019
6;45;Dinamarca;No;No;Si;No;No;7;2;1440,199133;2723,429467;8;8;10;3;9;10;4;1;3;4;Q1;Si;No;Si;No;1;No;No;No;No;Si;2019
6;73;Alemania;No;Si;No;Si;No;12;1;1369,378943;2498,923157;6;2;7;3;5;5;4;7;3;2;Q1;Si;No;Si;No;6;No;No;No;Si;No;2019
6;42;Alemania;No;Si;No;Si;No;6;3;219,49416;400,54584;4;4;9;3;10;10;4;1;3;1;Q1;Si;No;Si;No;7;Si;No;No;No;No;2019
6;65;Alemania;No;No;No;No;Si;6;2;194,0847834;354,1773166;1;1;10;5;10;10;4;7;2;5;Q1;No;No;Si;No;4;Si;No;No;No;No;2019
6;38;Alemania;No;Si;Si;No;No;10;3;1015,350623;1852,871477;2;1;10;4;10;10;4;1;4;4;Q1;No;Si;Si;No;5;Si;No;No;No;No;2019
6;49;Alemania;No;No;Si;No;No;12;2;1200;6000;15;15;10;3;10;10;4;3;4;4;Q1;Si;No;Si;No;0;No;No;Si;No;No;2019
1;53;Alemania;No;Si;Si;No;No;7;3;484,3612434;883,8908566;4;2;9;3;10;10;4;1;3;3;Q1;Si;No;Si;No;5;Si;No;No;No;No;2019
6;58;Alemania;No;No;Si;No;No;7;4;307,3577034;560,8843966;5;5;9;3;10;10;4;1;2;2;Q1;Si;No;Si;No;10;Si;Si;No;No;No;2019
6;40;Dinamarca;No;No;No;No;Si;7;2;3497,955258;6614,664742;1;1;7;4;0;5;4;4;4;4;Q1;Si;Si;No;No;12;Si;No;No;Si;No;2019
6;49;Suecia;No;Si;No;No;No;7;2;791,0486027;1495,879997;6;3;9;3;10;10;4;1;3;2;Q1;Si;No;Si;No;5;No;No;No;No;Si;2019
6;61;Dinamarca;No;Si;No;No;No;7;2;657,431376;1243,208624;3;2;9;3;10;10;4;1;4;2;Q1;Si;No;No;No;8;No;No;No;No;Si;2019
6;44;Dinamarca;No;Si;Si;No;No;7;3;1346,979083;2547,149517;2;2;10;3;10;10;4;1;3;3;Q1;Si;Si;Si;No;12;Si;No;No;No;No;2019
6;63;Dinamarca;No;Si;No;No;No;7;3;740,6371367;1400,551463;8;5;10;4;10;10;4;7;2;2;Q1;Si;No;Si;No;4;No;No;No;No;Si;2019
6;46;Dinamarca;No;Si;Si;No;No;7;2;1192,984403;2255,944197;3;3;10;3;10;10;4;1;3;3;Q1;No;No;Si;No;3;Si;No;No;Si;No;2019
6;45;Dinamarca;No;No;Si;No;No;7;4;1253,686394;2370,732206;4;4;9;3;10;10;4;1;3;3;Q1;Si;No;No;No;5;Si;Si;No;No;No;2019
6;65;Dinamarca;No;Si;No;No;No;14;3;880,5398507;1665,108749;4;0;10;4;10;10;3;7;3;2;Q1;Si;No;No;No;4;No;No;No;No;Si;2019
1;80;Dinamarca;No;Si;No;No;No;14;4;419,756568;793,763432;15;10;9;3;9;8;4;7;2;1;Q1;Si;No;No;No;6;Si;No;No;No;No;2019
6;68;Suecia;No;Si;No;Si;No;21;3;1065,904686;2015,635314;8;8;10;3;5;8;2;7;3;2;Q1;No;No;Si;No;12;No;No;No;No;Si;2019
6;41;Suecia;No;No;Si;No;No;7;3;843,217725;1594,532275;4;3;9;4;10;10;3;4;3;4;Q1;Si;No;No;No;12;Si;No;No;No;No;2019
6;54;Suecia;Si;No;No;No;No;12;4;117,0236171;440,0163829;6;3;10;3;10;10;4;1;2;2;Q1;Si;No;Si;No;4;Si;No;No;No;No;2019
6;60;Suecia;No;Si;No;No;No;22;4;723,5012507;1368,147349;7;5;9;3;10;10;3;1;3;2;Q1;Si;No;Si;No;9;No;No;Si;Si;No;2019
6;67;Suecia;No;Si;No;Si;No;14;2;875,3098427;1655,218757;5;2;8;4;10;10;3;7;2;2;Q1;No;No;Si;No;7;Si;No;No;No;No;2019
6;42;Suecia;No;Si;Si;No;No;7;3;809,489016;1530,750984;3;3;8;4;8;8;4;4;3;3;Q1;Si;Si;Si;No;3;Si;No;No;No;No;2019
6;36;Suecia;No;Si;Si;No;No;7;3;486,6669797;920,2916203;4;4;10;4;10;10;3;3;2;4;Q1;Si;No;No;No;2;No;No;No;No;Si;2019
1;71;Suecia;No;Si;No;No;No;21;4;959,6195087;1814,649091;10;7;9;5;10;10;3;7;2;2;Q1;Si;No;No;No;4;Si;No;No;No;No;2019
6;56;Suecia;No;Si;No;No;No;7;3;254,7306527;481,6979473;15;15;10;4;10;10;3;1;4;2;Q1;Si;No;No;No;8;Si;No;No;No;No;2019
6;59;Suecia;No;Si;No;No;No;7;2;521,1705047;985,5380953;6;6;10;4;10;10;4;7;4;2;Q1;Si;No;No;No;6;Si;No;No;No;No;2019
6;70;Suecia;No;Si;No;No;No;14;4;487,4175827;921,7110173;6;6;9;3;9;9;4;7;3;2;Q1;No;Si;No;No;10;No;No;No;No;Si;2019
6;63;Suecia;No;Si;No;No;No;7;4;150,1304927;283,8981073;6;5;9;3;9;9;2;7;1;2;Q1;Si;No;No;No;8;No;No;No;No;Si;2019
6;51;Suecia;No;Si;No;No;No;7;4;318,7982507;602,8503493;3;3;8;4;9;9;3;1;3;2;Q1;Si;No;No;No;8;No;No;No;No;Si;2019
