Sexo;Edad;Nacionalidad;Viaja_solo;Viaja_pareja;Viaja_hijo;Viaja_amigos;Viaja_otros;Noches;Tipo_alojamiento;Coste_vuelos;Coste_alojamiento;Gastos;Horas_fuera_alojamiento;Visitas_totales_Islas;Visitas_total_GC;Calificacion;Repetiria;Nivel_educativo;Situacion_laboral;Ingresos;Personas_hogar;Cuatrimestre;Año
6;50;Finlandia;No;No;Si;No;No;7;2;3419;5581;1000;2;4;1;3;6;4;4;4;5;Q1;2022
1;27;Finlandia;No;Si;No;No;No;6;2;1140;1.860;0;2;2;2;3;3;4;1;4;2;Q1;2022
1;58;Reino Unido;No;Si;No;No;No;7;3;717;813;599;5;4;4;4;10;4;7;3;2;Q2;2022
6;28;Alemania;No;Si;No;No;No;7;1;569;796;481;8;2;2;3;10;4;4;3;4;Q3;2022
1;61;Noruega;No;No;No;Si;No;17;7;592;986;2001;12;5;5;3;10;4;1;4;1;Q1;2022
6;29;Otros;Si;No;No;No;No;4;1;377;615;692;5;2;2;3;10;3;1;3;4;Q1;2022
1;42;Reino Unido;No;Si;No;No;No;7;1;1.364;1.981;840;4;2;2;4;10;4;1;4;2;Q2;2022
1;59;Alemania;No;Si;No;No;No;7;2;1.235;1.729;379;1;2;0;5;10;3;1;1;4;Q3;2022
1;55;Noruega;No;No;No;Si;No;13;2;937;1.578;850;4;3;3;4;10;4;7;3;2;Q1;2022
6;53;Reino Unido;No;No;No;No;Si;7;2;1.754;2.547;321;1;2;0;4;10;4;1;3;3;Q2;2022
1;62;Noruega;No;Si;No;No;No;10;4;1.184;1.085;2171;12;15;15;4;10;4;1;4;2;Q1;2022
1;67;Reino Unido;No;Si;No;No;No;14;2;1.218;1.769;720;4;16;12;3;10;4;7;2;2;Q2;2022
6;43;Alemania;No;No;Si;No;No;9;2;339;475;435;1;2;1;5;10;3;8;2;2;Q3;2022
1;66;Noruega;No;Si;No;No;No;10;6;56;1.204;865;6;8;8;3;10;3;1;3;2;Q1;2022
6;53;Reino Unido;No;No;No;No;Si;7;4;1.413;2.052;1122;5;3;3;3;10;4;1;3;5;Q2;2022
1;58;Alemania;No;Si;No;No;No;14;3;1125;1575;20;3;4;3;3;10;4;1;4;2;Q3;2022
1;62;Noruega;No;Si;No;No;No;16;4;592;4439;1001;4;10;9;3;10;4;3;4;2;Q1;2022
1;76;Reino Unido;No;Si;No;No;No;14;2;1437;2.087;321;1;6;6;3;10;4;7;2;2;Q2;2022
6;66;Alemania;No;No;No;No;Si;8;1;569;796;880;2;3;2;5;10;4;1;1;2;Q3;2022
6;55;Reino Unido;No;Si;No;No;No;7;4;682;990;995;5;6;2;3;8;4;1;2;2;Q2;2022
6;32;Alemania;No;No;Si;No;No;13;2;444;621;635;10;2;2;4;9;3;1;3;2;Q3;2022
6;40;Reino Unido;No;Si;No;No;No;7;2;730;1061;301;2;1;1;5;10;1;1;2;5;Q2;2022
6;52;Reino Unido;No;Si;No;No;No;7;2;1023;1486;241;1;10;6;5;10;1;1;2;5;Q2;2022
1;21;Reino Unido;No;Si;No;No;No;7;2;791;1727;729;10;5;1;3;5;4;2;2;4;Q1;2022
6;48;Reino Unido;No;No;Si;No;No;14;2;1998;2902;720;3;9;9;3;10;1;1;2;3;Q2;2022
6;48;Reino Unido;No;No;No;Si;No;6;4;1090;2381;1549;6;3;3;4;8;4;1;4;4;Q1;2022
1;50;Reino Unido;No;No;Si;No;No;14;2;2875;4176;542;2;18;18;3;10;4;1;2;3;Q2;2022
6;16;Alemania;No;No;Si;No;No;13;2;1569;2.196;2962;3;3;1;4;7;4;1;4;3;Q3;2022
6;58;Reino Unido;No;No;No;No;Si;14;2;1628;3.555;170;9;4;2;4;10;4;1;2;2;Q1;2022
1;70;Reino Unido;No;Si;No;No;No;14;2;974;1.415;622;2;14;6;3;9;4;7;2;2;Q2;2022
1;34;Alemania;No;No;Si;No;No;7;4;1152;1.613;335;5;4;3;3;10;4;1;1;3;Q3;2022
6;58;Reino Unido;No;Si;No;No;No;7;2;779;1.132;960;2;2;0;3;10;3;1;4;2;Q2;2022
6;64;Reino Unido;No;Si;No;No;No;7;2;194;282;122;0;5;5;3;8;1;7;4;3;Q2;2022
6;43;Alemania;Si;No;No;No;No;7;4;335;469;530;8;3;1;4;10;4;1;2;1;Q3;2022
6;54;Reino Unido;No;Si;No;No;No;6;4;551;1.204;329;0;2;1;5;10;3;1;1;2;Q1;2022
6;41;Otros;No;Si;No;No;No;7;4;100;500;370;6;1;0;4;9;4;1;4;2;Q2;2022
6;54;Reino Unido;No;No;No;Si;No;11;2;699;1.527;1007;12;8;5;5;10;4;2;4;1;Q1;2022
6;58;Alemania;No;No;Si;No;No;9;4;1667;2.333;1000;7;10;6;3;10;4;1;3;3;Q3;2022
6;47;Alemania;No;Si;No;No;No;13;1;1235;1.729;935;4;5;5;3;9;3;1;3;2;Q3;2022
1;52;Alemania;No;No;Si;No;No;9;2;2236;3.129;1735;12;4;2;5;10;4;4;4;2;Q3;2022
1;42;Reino Unido;No;Si;No;No;No;6;4;294;1.472;500;10;2;1;2;5;4;1;4;1;Q1;2022
6;78;Alemania;No;Si;No;No;No;21;4;400;1.200;800;8;19;1;3;10;4;7;2;2;Q3;2022
6;57;Reino Unido;No;Si;No;No;No;7;2;925;2.020;1196;12;7;7;3;10;4;1;4;3;Q1;2022
6;68;Alemania;No;Si;No;No;No;14;2;527;738;635;3;10;3;4;10;4;7;3;2;Q3;2022
6;48;Reino Unido;No;No;Si;No;No;7;2;1.106;2.416;428;7;1;0;4;9;4;1;3;2;Q1;2022
6;25;Alemania;No;No;No;No;Si;7;3;1.013;1.785;352;5;4;1;3;9;4;6;1;1;Q2;2022
6;62;Alemania;No;No;Si;No;No;8;2;735;1.029;265;14;2;2;3;10;3;1;2;1;Q3;2022
1;59;Reino Unido;No;No;No;No;Si;14;3;936;2.050;1700;8;2;2;4;10;4;2;4;2;Q1;2022
6;67;Alemania;No;No;No;Si;No;7;4;361;637;526;10;3;2;4;10;4;7;1;1;Q2;2022
6;20;Alemania;No;No;No;No;Si;7;2;335;469;520;8;3;2;3;8;4;6;1;2;Q3;2022
6;54;Reino Unido;No;Si;No;No;No;7;4;588;1285;729;15;7;0;4;10;4;1;2;2;Q1;2022
6;25;Alemania;Si;No;No;No;No;7;6;150;200;350;2;2;1;3;8;4;1;1;3;Q2;2022
6;23;Alemania;No;Si;No;No;No;6;4;230;600;210;10;1;1;4;9;4;6;1;4;Q2;2022
6;44;Alemania;No;No;Si;No;No;9;2;1000;1400;200;9;4;1;3;10;4;1;3;2;Q3;2022
6;62;Reino Unido;No;Si;No;No;No;7;4;773;1689;1325;10;4;3;3;10;4;2;3;2;Q1;2022
1;40;Reino Unido;No;Si;No;No;No;10;2;1216;2655;359;2;10;0;4;10;4;1;2;2;Q1;2022
1;71;Alemania;Si;No;No;No;No;14;5;470;830;850;2;4;3;3;10;4;4;4;2;Q2;2022
6;62;Alemania;No;No;No;No;Si;7;2;613;857;550;5;7;1;3;10;4;2;4;1;Q3;2022
6;36;Otros;No;Si;No;No;No;4;2;144;254;277;12;2;1;4;8;3;1;3;4;Q2;2022
6;69;España;No;Si;No;No;No;15;6;300;600;900;4;5;1;3;10;4;7;2;4;Q1;2022
6;44;Alemania;No;No;Si;No;No;10;2;819;1146;335;2;3;1;3;8;4;1;2;4;Q3;2022
6;46;España;No;Si;No;No;No;7;3;1343;2.529;127;6;3;0;5;10;4;1;3;3;Q1;2022
1;35;Alemania;No;No;Si;No;No;7;4;724;1276;400;6;2;1;3;7;4;1;4;4;Q2;2022
1;52;Alemania;No;Si;No;No;No;14;2;1569;2196;1235;10;5;3;3;10;4;1;3;3;Q3;2022
1;50;Alemania;No;No;Si;No;No;14;2;1569;2196;560;10;5;2;4;10;3;1;3;3;Q3;2022
6;44;España;No;Si;No;No;No;8;2;1100;3200;540;10;6;2;5;10;4;1;4;2;Q1;2022
6;31;Alemania;No;Si;No;No;No;7;3;130;228;629;7;10;1;3;3;4;1;2;2;Q2;2022
6;23;Alemania;No;No;No;Si;No;7;2;202;356;526;8;2;1;3;7;4;1;1;1;Q2;2022
