Sexo;Edad;Nacionalidad;Viaja_solo;Viaja_pareja;Viaja_hijo;Viaja_amigos;Viaja_otros;Noches;Tipo_alojamiento;Coste_vuelos;Coste_alojamiento;Gastos;Horas_fuera_alojamiento;Visitas_totales_Islas;Visitas_total_GC;Calificacion;Repetiria;Nivel_educativo;Situacion_laboral;Ingresos;Personas_hogar;Cuatrimestre;Año
6;49;Alemania;No;Si;No;No;No;14;6;430;1.400;1.450;7;2;2;3;9;4;1;2;3;Q1;2019
6;67;Alemania;No;Si;No;No;No;10;2;956;1.744;800;6;4;0;3;10;4;1;4;2;Q1;2019
6;57;Paises Bajos;No;Si;No;No;No;7;5;303;975;473;5;15;5;3;8;4;1;3;3;Q1;2019
1;60;Alemania;No;Si;No;No;No;7;6;100;350;430;4;2;2;3;10;3;1;2;3;Q1;2019
1;49;Alemania;No;Si;No;No;No;13;4;300;2.200;1.120;5;3;2;5;10;3;1;4;2;Q1;2019
1;29;Alemania;No;Si;No;No;No;14;4;400;650;1.000;10;5;5;3;9;3;1;2;3;Q1;2019
1;60;Alemania;No;Si;No;No;No;7;5;276;910;120;8;12;3;4;9;4;1;3;2;Q1;2019
1;44;Italia;Si;No;No;No;No;18;4;200;370;300;6;2;2;4;7;2;1;1;1;Q1;2019
1;72;Alemania;No;Si;No;No;No;7;6;60;300;300;10;3;1;5;10;4;7;2;2;Q1;2019
1;49;Alemania;Si;No;No;No;No;7;4;237;432;662;10;10;0;3;8;4;1;4;1;Q1;2019
6;53;Suiza;No;No;Si;No;No;7;2;379;716;2.151;3;1;1;3;10;3;1;2;1;Q1;2019
6;50;Dinamarca;No;No;No;No;Si;7;4;566;1.070;1.186;8;2;2;3;10;3;3;2;1;Q1;2019
6;56;Dinamarca;No;Si;No;No;No;7;1;1.249;2.362;851;2;2;0;3;9;4;10;4;2;Q1;2019
1;31;Dinamarca;No;No;Si;No;No;7;4;364;688;510;8;5;5;4;9;4;4;2;1;Q1;2019
6;67;Dinamarca;No;Si;No;No;No;8;4;326;617;505;8;8;8;3;10;4;7;2;3;Q1;2019
6;65;Dinamarca;No;Si;No;No;No;7;3;134;254;690;8;7;2;3;7;4;7;3;2;Q1;2019
1;27;Dinamarca;No;Si;No;No;No;7;3;577;1.092;1.499;5;4;4;3;10;4;2;4;2;Q1;2019
1;64;Suiza;No;Si;No;No;No;7;4;155;294;526;7;10;10;3;10;3;1;2;2;Q1;2019
6;61;Suiza;No;Si;No;No;No;7;3;217;411;934;12;25;20;4;10;3;7;2;2;Q1;2019
1;69;Suiza;No;Si;No;No;No;7;3;137;260;738;15;8;8;3;10;3;7;2;2;Q1;2019
6;51;Bélgica;No;Si;No;No;No;12;2;1.152;3.348;800;4;5;3;3;10;3;7;3;3;Q1;2019
6;36;Suiza;No;No;No;No;Si;7;4;520;984;1.551;9;5;5;3;9;4;7;4;2;Q1;2019
6;41;Suiza;No;No;Si;No;No;7;4;386;729;1.130;8;12;5;2;10;4;1;2;4;Q1;2019
1;26;Suiza;No;No;No;Si;No;14;6;292;681;979;10;2;1;3;1;4;4;3;2;Q1;2019
6;38;Suiza;No;No;Si;No;No;11;6;974;1.947;400;12;6;4;4;9;4;4;4;4;Q1;2019
6;67;Suiza;No;No;Si;No;No;15;5;389;1.558;489;6;14;6;3;10;3;7;2;1;Q1;2019
1;62;Suiza;No;No;No;Si;No;7;2;1.747;3.303;700;16;1;0;3;6;3;1;3;2;Q1;2019
6;53;Otros;No;Si;No;No;No;8;3;640;2.400;1.000;3;6;6;3;10;4;3;4;2;Q1;2019
1;74;Suiza;No;Si;No;No;No;8;4;312;800;395;8;8;5;3;10;4;7;4;2;Q1;2019
6;65;Suiza;No;Si;No;No;No;10;3;690;1.305;385;8;5;2;4;9;4;7;3;2;Q1;2019
1;55;Suiza;No;No;No;Si;No;6;4;386;729;1.130;12;4;4;4;10;3;6;4;3;Q1;2019
6;67;Suiza;No;Si;No;No;No;7;3;386;729;298;7;2;2;4;8;4;7;2;2;Q1;2019
6;79;Suiza;No;Si;No;No;No;7;2;621;1.175;223;4;5;5;5;10;4;7;3;2;Q1;2019
6;64;Suiza;No;Si;No;No;No;7;2;882;1.667;451;2;8;7;3;10;4;7;3;2;Q1;2019
1;70;Suiza;No;Si;No;No;No;7;3;217;411;445;8;11;11;4;10;3;7;2;2;Q1;2019
1;67;Suiza;No;No;No;Si;No;7;3;229;433;196;10;2;2;4;7;3;7;2;2;Q1;2019
6;61;Suiza;No;Si;No;No;No;7;4;554;1.048;543;8;3;3;4;10;4;1;3;2;Q1;2019
1;79;Suiza;No;Si;No;No;No;7;5;419;793;558;7;24;22;3;8;4;7;2;2;Q1;2019
1;18;Suiza;No;No;No;Si;No;6;2;217;411;738;12;2;2;4;10;3;2;1;1;Q1;2019
1;55;Dinamarca;No;Si;No;No;No;7;2;321;607;623;6;3;3;3;10;4;1;4;2;Q1;2019
1;62;Reino Unido;No;Si;No;No;No;5;1;290;1.003;420;7;3;1;4;9;4;1;2;2;Q1;2019
6;36;Reino Unido;No;No;No;Si;No;5;4;109;642;392;6;4;1;3;10;3;1;2;1;Q1;2019
6;55;Reino Unido;No;Si;No;No;No;7;2;156;936;300;4;3;1;4;10;4;1;1;1;Q1;2019
6;71;Reino Unido;No;No;No;Si;No;10;6;178;800;454;12;5;2;3;9;4;7;4;2;Q1;2019
6;42;Reino Unido;No;Si;No;No;No;3;1;167;624;448;8;5;4;3;10;3;2;2;2;Q1;2019
1;22;Reino Unido;No;No;No;No;Si;7;5;326;1.012;900;4;6;0;5;10;4;1;4;3;Q1;2019
1;22;Italia;No;No;No;Si;No;5;4;200;300;400;15;1;1;3;7;4;5;1;2;Q1;2019
1;46;Reino Unido;No;No;Si;No;No;7;4;167;502;1.119;12;12;12;3;10;1;2;1;4;Q1;2019
1;74;Reino Unido;No;Si;No;No;No;7;4;446;836;1.119;9;8;3;3;10;4;7;2;2;Q1;2019
1;51;Reino Unido;No;Si;No;No;No;7;4;111;479;500;16;20;15;2;10;1;1;4;3;Q1;2019
1;58;Reino Unido;Si;No;No;No;No;10;4;98;323;358;2;12;2;5;10;1;2;2;2;Q1;2019
6;73;Noruega;No;Si;No;No;No;14;4;1.006;1.903;651;8;10;9;3;10;4;7;4;2;Q1;2019
1;44;Dinamarca;No;Si;No;No;No;7;4;448;847;607;6;1;1;3;9;4;1;3;2;Q1;2019
1;60;Dinamarca;No;Si;No;No;No;8;2;601;1.136;353;4;10;4;3;9;2;3;4;2;Q1;2019
6;71;Dinamarca;No;Si;No;No;No;28;4;1.539;2.911;1.400;4;4;4;3;5;3;7;4;2;Q1;2019
6;32;Finlandia;No;No;No;Si;No;7;5;349;661;231;10;5;3;4;7;3;1;3;1;Q1;2019
6;16;Italia;No;No;No;No;Si;8;6;500;600;1.830;14;3;1;4;10;3;6;2;4;Q1;2019
1;65;Finlandia;No;Si;No;No;No;7;4;294;555;936;6;2;2;3;6;4;7;3;2;Q1;2019
1;39;Finlandia;No;Si;No;No;No;7;2;259;490;651;14;10;7;3;9;4;1;2;2;Q1;2019
1;60;Finlandia;No;No;Si;No;No;6;3;467;882;401;1;4;2;4;9;3;2;2;1;Q1;2019
6;53;Finlandia;No;Si;No;No;No;7;5;467;882;411;7;4;2;4;9;3;2;2;7;Q1;2019
6;60;Finlandia;No;No;No;No;Si;7;4;116;218;451;17;3;2;3;5;3;7;1;1;Q1;2019
1;50;Finlandia;No;Si;No;No;No;7;5;300;1.000;90;3;3;2;3;10;3;2;3;2;Q1;2019
6;53;Otros;No;No;Si;No;No;7;4;577;1.192;1.552;5;7;5;3;10;3;3;2;5;Q1;2019
1;44;Otros;No;No;Si;No;No;10;5;780;1.500;100;1;2;0;3;10;4;3;2;2;Q1;2019
6;39;Italia;No;No;Si;No;No;7;4;200;1.000;1.000;8;13;0;3;9;4;1;4;3;Q1;2019
6;59;Paises Bajos;No;Si;No;No;No;7;3;255;822;123;14;1;1;4;10;4;1;4;2;Q1;2019
6;47;España;No;Si;No;No;No;3;2;40;340;30;4;7;2;4;10;4;1;1;2;Q1;2019
1;37;Otros;Si;No;No;No;No;1;5;200;30;100;8;4;0;4;10;4;1;1;1;Q1;2019
6;31;España;No;Si;No;No;No;4;3;150;420;200;7;4;0;3;8;4;1;2;2;Q1;2019
6;59;Italia;No;No;No;Si;No;4;2;150;950;1.100;10;1;1;3;8;4;2;1;4;Q1;2019
1;48;España;No;Si;No;No;No;4;4;178;354;254;15;6;6;3;10;4;5;1;2;Q1;2019
1;80;Alemania;No;Si;No;No;No;28;2;821;1.498;882;3;4;0;4;9;2;7;2;1;Q1;2019
1;44;Alemania;Si;No;No;No;No;17;2;1.015;1.853;887;10;20;20;3;10;4;1;3;1;Q1;2019
6;70;Alemania;No;Si;No;No;No;28;4;1.369;2.499;2.132;7;7;0;3;9;4;7;3;2;Q1;2019
6;45;Alemania;No;Si;No;No;No;8;2;555;1.013;382;4;4;1;4;8;4;1;3;2;Q1;2019
1;55;Paises Bajos;No;Si;No;No;No;10;2;397;1.280;523;10;7;6;3;7;3;3;3;3;Q1;2019
1;40;Italia;No;Si;No;No;No;9;4;400;1.500;1.000;8;2;2;3;5;4;2;1;2;Q1;2019
1;68;Alemania;No;Si;No;No;No;10;1;496;904;520;2;2;2;4;5;3;2;2;2;Q1;2019
6;17;Alemania;No;Si;No;No;No;7;2;162;295;135;12;3;1;3;10;3;6;2;2;Q1;2019
1;68;Alemania;No;Si;No;No;No;14;2;1.062;1.938;100;6;5;0;3;8;4;7;4;2;Q1;2019
1;41;Alemania;Si;No;No;No;No;4;1;308;562;332;12;2;1;4;10;4;2;3;1;Q1;2019
6;53;Alemania;No;Si;No;No;No;11;2;732;1.336;632;5;3;1;3;8;3;1;3;2;Q1;2019
1;49;Alemania;Si;No;No;No;No;3;4;80;240;165;10;14;13;3;7;4;1;3;2;Q1;2019
6;23;Alemania;No;No;No;No;Si;7;6;60;300;500;6;25;4;5;10;4;6;4;2;Q1;2019
1;56;Paises Bajos;Si;No;No;No;No;6;3;50;200;250;14;6;6;3;9;4;1;3;3;Q1;2019
6;44;Italia;No;No;Si;No;No;10;2;300;1.700;210;9;7;2;4;7;4;2;2;3;Q1;2019
1;54;Alemania;No;Si;No;No;No;7;5;270;700;1.180;0;20;20;3;9;4;3;4;2;Q1;2019
1;63;Alemania;No;Si;No;No;No;10;2;484;884;282;6;2;2;3;7;4;7;2;2;Q1;2019
1;52;Alemania;Si;No;No;No;No;20;6;250;800;315;8;20;20;3;10;3;2;3;1;Q1;2019
6;43;Alemania;No;Si;No;No;No;8;3;348;636;247;8;2;2;3;7;3;1;3;2;Q1;2019
1;74;Alemania;No;Si;No;No;No;10;2;591;1.078;232;5;20;13;3;10;3;7;2;2;Q1;2019
6;53;Suiza;No;No;Si;No;No;7;1;1.010;1.911;1.351;7;8;6;2;10;4;7;2;2;Q1;2019
6;54;Italia;Si;No;No;No;No;7;3;220;430;200;12;6;2;3;9;3;2;1;1;Q1;2019
6;50;Suiza;No;No;Si;No;No;7;3;1.063;2.009;1.326;2;5;3;4;10;4;1;3;4;Q1;2019
1;22;Suiza;No;No;No;No;Si;7;4;200;379;445;6;3;2;3;5;4;6;2;2;Q1;2019
1;52;Suiza;No;No;Si;No;No;7;3;487;920;249;2;5;3;3;7;3;1;3;2;Q1;2019
6;63;Suiza;No;Si;No;No;No;7;3;202;382;783;6;10;8;4;10;4;2;3;2;Q1;2019
6;53;Suiza;No;Si;No;No;No;7;1;706;1.334;1.130;8;11;8;5;10;4;7;4;3;Q1;2019
6;20;Alemania;No;Si;No;No;No;6;1;484;884;1.632;5;2;2;3;10;4;2;4;2;Q1;2019
6;28;Otros;No;Si;No;No;No;7;2;1.167;1.167;410;10;2;1;5;10;3;3;1;2;Q1;2019
6;30;Alemania;No;No;Si;No;No;15;2;500;1.500;1.000;8;25;16;5;9;4;1;2;1;Q1;2019
6;46;Italia;No;Si;No;No;No;7;3;522;1.178;220;8;6;5;3;10;3;1;2;2;Q1;2019
1;72;Alemania;No;Si;No;No;No;7;3;520;949;182;8;3;3;3;8;4;3;4;4;Q1;2019
1;70;Alemania;No;Si;No;No;No;7;1;531;969;100;5;5;5;3;5;3;7;2;2;Q1;2019
1;65;Alemania;No;No;No;Si;No;10;4;200;1.100;840;10;10;9;3;10;4;2;4;5;Q1;2019
1;74;Alemania;No;Si;No;No;No;10;1;180;328;312;6;2;2;3;8;3;1;2;3;Q1;2019
6;21;Alemania;No;Si;No;No;No;9;2;1.334;2.434;2.719;0;1;1;3;8;3;2;2;2;Q1;2019
1;35;Alemania;No;No;Si;No;No;6;2;1.015;1.853;832;6;4;2;3;10;4;1;2;4;Q1;2019
1;74;Alemania;No;Si;No;No;No;18;5;1.947;3.553;0;5;7;7;3;9;3;11;2;2;Q1;2019
6;52;Alemania;No;Si;No;No;No;7;3;626;1.142;432;12;3;2;3;9;4;3;4;4;Q1;2019
6;64;Alemania;No;Si;No;No;No;10;2;354;646;500;4;4;0;3;7;4;3;3;3;Q1;2019
1;53;Alemania;No;Si;No;No;No;11;2;874;1.594;1.791;3;6;6;2;3;4;2;4;2;Q1;2019
1;30;Noruega;No;Si;No;No;No;7;4;1.326;1.224;757;8;4;4;3;10;4;1;2;2;Q1;2019
6;53;Noruega;Si;No;No;No;No;7;6;49;93;153;7;3;3;5;10;4;2;3;2;Q1;2019
1;39;Noruega;No;No;No;Si;No;7;3;406;769;2.090;5;12;12;4;10;3;1;4;2;Q1;2019
1;62;Noruega;No;Si;No;No;No;7;3;568;1.074;800;10;3;2;4;5;4;7;3;2;Q1;2019
6;55;Otros;No;Si;No;No;No;11;2;1.083;1.917;100;10;4;2;3;8;4;6;4;4;Q1;2019
6;53;Noruega;No;Si;No;No;No;14;4;512;969;3.078;8;7;7;3;10;4;8;4;2;Q1;2019
6;60;Noruega;No;Si;No;No;No;14;3;917;1.735;665;5;8;8;3;10;3;1;4;2;Q1;2019
6;47;Noruega;No;Si;No;No;No;7;4;248;468;905;10;14;14;3;8;4;1;4;2;Q1;2019
6;65;Noruega;No;Si;No;No;No;14;2;635;1.201;400;8;7;5;5;10;3;7;2;2;Q1;2019
1;36;Noruega;No;Si;No;No;No;7;2;301;569;356;2;3;3;3;8;4;1;2;2;Q1;2019
6;57;Alemania;No;Si;No;No;No;8;1;1.000;800;3.000;3;17;6;3;8;4;4;4;3;Q1;2019
6;73;Noruega;No;No;No;Si;No;21;3;1.341;2.536;1.900;5;7;5;3;10;4;7;2;3;Q1;2019
1;45;Noruega;No;No;No;Si;No;7;3;406;769;355;4;6;5;4;10;4;1;2;1;Q1;2019
1;53;España;No;Si;No;No;No;6;2;110;218;402;5;5;1;4;10;3;1;3;4;Q1;2019
1;52;España;Si;No;No;No;No;2;3;700;300;660;14;20;9;3;6;4;1;3;4;Q1;2019
6;66;Suecia;No;Si;No;No;No;8;5;1.196;1.800;300;4;8;8;3;7;4;7;4;2;Q1;2019
1;50;España;Si;No;No;No;No;2;2;150;250;290;16;4;2;3;6;4;1;2;1;Q1;2019
6;55;España;No;Si;No;No;No;10;3;352;698;590;10;3;1;4;10;4;10;1;2;Q1;2019
6;48;España;No;Si;No;No;No;7;1;505;1.003;292;10;4;2;3;8;4;1;4;2;Q1;2019
6;64;Reino Unido;No;Si;No;No;No;8;2;178;1.338;448;24;3;0;3;10;4;7;2;1;Q1;2019
6;25;Italia;No;Si;No;No;No;5;3;67;635;300;12;2;2;3;10;4;1;2;2;Q1;2019
6;48;Reino Unido;No;Si;No;No;No;4;2;446;2.453;100;5;20;17;5;10;4;2;1;4;Q1;2019
1;55;Reino Unido;No;Si;No;No;No;9;4;156;1.115;640;4;5;4;3;10;3;1;3;2;Q1;2019
1;69;Reino Unido;No;Si;No;No;No;7;2;412;1.280;315;1;4;0;3;5;4;7;2;2;Q1;2019
6;39;Italia;Si;No;No;No;No;22;5;60;200;413;2;12;2;5;10;4;2;2;2;Q1;2019
1;69;Dinamarca;No;Si;No;No;No;7;3;507;960;311;4;10;3;3;10;4;1;4;2;Q1;2019
1;45;Otros;No;Si;No;No;No;10;2;700;700;100;8;15;15;4;10;4;2;3;3;Q1;2019
6;55;España;No;No;No;No;Si;4;4;2.400;720;1.000;14;10;10;3;10;4;1;3;2;Q1;2019
6;68;España;No;No;No;No;Si;7;1;714;1.418;202;8;7;0;3;10;4;7;2;1;Q1;2019
1;64;España;Si;No;No;No;No;2;2;150;180;220;16;20;9;3;9;3;1;3;2;Q1;2019
6;54;España;No;No;No;Si;No;4;4;75;240;190;10;4;2;3;10;3;1;2;2;Q1;2019
1;56;España;No;Si;No;No;No;7;4;204;404;292;15;5;5;4;9;4;1;4;3;Q1;2019
6;61;Paises Bajos;No;Si;No;No;No;10;4;208;669;323;6;7;7;2;5;4;1;2;2;Q1;2019
1;59;España;Si;No;No;No;No;4;2;330;350;356;14;5;3;3;8;4;1;3;2;Q1;2019
6;44;España;Si;No;No;No;No;4;2;250;360;120;14;4;1;3;10;3;1;2;1;Q1;2019
1;45;España;Si;No;No;No;No;5;4;165;240;425;10;15;2;3;10;4;1;4;5;Q1;2019
6;47;España;No;Si;No;No;No;4;6;450;350;1.000;10;5;3;5;10;4;3;2;3;Q1;2019
6;59;España;No;Si;No;No;No;7;3;469;931;250;10;3;0;4;8;3;1;1;2;Q1;2019
6;51;España;Si;No;No;No;No;3;3;111;219;200;10;20;19;3;8;4;3;2;2;Q1;2019
6;65;España;No;Si;No;No;No;10;2;994;1.974;242;6;12;8;5;10;3;7;2;2;Q1;2019
6;39;España;No;Si;No;No;No;10;4;170;338;792;8;3;0;5;10;4;7;1;2;Q1;2019
1;46;España;Si;No;No;No;No;4;5;150;250;510;15;3;3;5;10;4;2;2;4;Q1;2019
6;75;España;No;Si;No;No;No;7;2;907;1.801;902;2;6;4;4;7;4;3;3;2;Q1;2019
1;54;España;Si;No;No;No;No;1;2;130;140;70;16;10;1;3;10;4;1;3;4;Q1;2019
6;53;España;No;No;Si;No;No;4;1;150;483;600;1;4;0;3;5;3;2;2;4;Q1;2019
1;22;Noruega;No;No;No;No;Si;10;6;224;1.020;1.145;7;13;13;3;9;4;1;2;1;Q1;2019
1;38;Noruega;No;Si;No;No;No;14;3;459;868;1.944;10;2;2;3;8;4;1;2;2;Q1;2019
6;58;Noruega;No;No;No;No;Si;6;1;510;1.632;300;4;5;3;3;9;4;2;4;2;Q1;2019
6;59;Noruega;No;No;No;Si;No;7;4;494;934;788;14;4;3;3;10;4;1;4;1;Q1;2019
1;31;Noruega;No;Si;No;No;No;7;2;204;1.020;200;7;4;3;3;8;3;1;3;2;Q1;2019
1;53;Noruega;No;No;Si;No;No;7;4;583;1.102;861;5;10;9;3;10;3;2;3;3;Q1;2019
1;45;Noruega;No;Si;No;No;No;7;2;477;902;246;6;4;4;3;10;4;1;3;2;Q1;2019
1;65;Noruega;No;Si;No;No;No;7;4;198;375;663;12;3;2;3;6;4;7;4;2;Q1;2019
1;41;Noruega;No;No;Si;No;No;7;3;1.158;2.191;2.181;4;2;2;3;8;3;1;4;4;Q1;2019
6;53;Noruega;No;Si;No;No;No;14;5;812;1.535;875;5;8;3;3;9;4;1;4;2;Q1;2019
6;56;Suiza;No;No;No;Si;No;7;2;690;1.306;489;9;7;7;3;7;3;2;4;2;Q1;2019
1;51;Finlandia;Si;No;No;No;No;7;5;184;347;561;6;10;9;4;10;4;1;4;2;Q1;2019
6;68;Suiza;No;Si;No;No;No;7;3;536;1.013;651;2;10;5;3;10;4;7;4;2;Q1;2019
